model,aegis,harmbench,openai_mod,simplesafety_tests,toxicchat,toxicchat_humanannotated,wildguardtest,wildjailbreak_test,xstest
Majority Vote llama3_8b,0.7913669064748201,0.930648769574944,0.6356123215627348,0.9528795811518325,0.4400871459694989,0.5444743935309974,0.8218181818181818,0.783517467900866,0.7538940809968847
Majority Vote llama3_8b_inst,0.8321513002364066,0.9851380042462845,0.751417004048583,0.9949748743718593,0.6221786064769381,0.6831896551724138,0.8701117318435754,0.9232,0.9689119170984456
Majority Vote mistral12b_inst,0.8506787330316742,1.0,0.7238562091503268,0.9949748743718593,0.5914467697907189,0.668724279835391,0.8764829030006979,0.9091399299002426,0.9473684210526315
Majority Vote mistral7b,0.7710843373493976,0.9494505494505494,0.6154882154882155,0.9847715736040609,0.4590909090909091,0.5557586837294333,0.8178545716342692,0.7601700060716454,0.7371794871794872
Majority Vote mistral7b_inst,0.863013698630137,0.9979035639412998,0.6980273141122914,0.98989898989899,0.5855855855855856,0.6559031281533805,0.8713286713286713,0.9091888978711937,0.9498680738786279
Majority Vote olmo2_0325_32b_inst,0.8425925925925926,0.9979035639412998,0.7154471544715447,0.9949748743718593,0.6746506986027944,0.7123287671232876,0.8688873139617292,0.9318541996830428,0.8838526912181303
Majority Vote olmo2_1124_13b_inst,0.8839285714285714,0.9979035639412998,0.7402597402597403,0.9949748743718593,0.7479674796747967,0.7787182587666264,0.886726893676164,0.9705656513949322,0.9604221635883905
Majority Vote olmo2_1124_7b,0.7952941176470588,0.9111617312072893,0.6214852198990627,0.9847715736040609,0.44097995545657015,0.5294117647058824,0.8334524660471766,0.8081751824817518,0.7791411042944786
Majority Vote olmo2_1124_7b_inst,0.8883928571428571,0.9786324786324786,0.7519051651143099,0.9949748743718593,0.761433868974042,0.7837150127226463,0.883367839889579,0.968982312227634,0.9662337662337662
